Keyword,Search Intent,Estimated Volume,Difficulty,Priority,Assigned Page/URL,Content Type,App Feature Connection,CTA to App,Notes
"not paid overtime California",Action/Info,1600,Medium,High,/wage-hour/overtime-guide/,Blog Post,Wage & Hour Tracking,"Track your overtime violations with our free tool","High commercial intent - people actively seeking solutions"
"missed meal break penalty California",Action/Info,2900,Medium,High,/wage-hour/missed-meal-break-penalty/,Landing Page,Wage & Hour Tracking,"Calculate your meal break penalties","Very specific - high conversion potential"
"California rest break law",Info,800,Low,Medium,/wage-hour/rest-break-guide/,Guide,Wage & Hour Tracking,"Log your break violations","Educational content with app integration"
"overtime calculator California",Tool,900,Low,High,/tools/overtime-calculator/,Tool Page,Wage & Hour Calculator,"Use our Employment Law Tracker for documentation","Direct tool - high engagement"
"hostile work environment examples California",Info,1200,Medium,High,/harassment/hostile-work-environment-examples/,Blog Post,Discrimination & Harassment,"Document harassment with our tracker","List format - highly shareable"
"pregnancy discrimination California",Info/Legal,700,Medium,Medium,/discrimination/pregnancy-discrimination-guide/,Guide,Discrimination Tracking,"Track pregnancy discrimination incidents","Sensitive topic - emphasize attorney consultation"
"wrongful termination California checklist",Action,1100,Medium,High,/termination/wrongful-termination-checklist/,Checklist,Retaliation Tracking,"Use our tracker to document evidence","Checklist format - high utility"
"FMLA vs CFRA differences",Info,600,Low,Medium,/leave/fmla-cfra-comparison/,Comparison Guide,Leave Tracking,"Track your leave issues","Educational - builds authority"
"Cal OSHA complaint process",Action,400,Low,Medium,/safety/cal-osha-complaint-guide/,Process Guide,Safety Tracking,"Document safety violations first","Government process - show expertise"
"fired after complaining to HR",Action,500,Medium,High,/retaliation/fired-after-hr-complaint/,Case Study,Retaliation Tracking,"Track retaliation incidents","High emotional impact - urgent need"
